Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT
320,Binghamton,AE,15-17,-13.96,99,112.9,65.8
321,Holy Cross,PL,13-19,-13.97,102,115.9,66.1
322,Niagara,MAAC,11-20,-14.13,101.3,115.4,65.2
323,Stonehill,NEC,15-17,-14.23,101,115.2,65.1
324,North Carolina Central,MEAC,14-19,-14.4,102.9,117.3,66.9
325,Alcorn St.,SWAC,11-21,-14.5,97.9,112.4,64.8
326,East Texas A&M,Slnd,5-26,-14.59,97,111.5,67.4
327,Lindenwood,OVC,16-17,-14.67,94.4,109,69.7
328,Morehead St.,OVC,15-17,-14.72,97.9,112.6,64.1
329,Coastal Carolina,SB,10-22,-14.82,100.7,115.5,63.3
330,Oral Roberts,Sum,7-23,-15.02,103,118,67.4
331,Morgan St.,MEAC,14-18,-15.46,101.8,117.2,70.5
332,Green Bay,Horz,4-28,-15.72,101.1,116.8,69
333,Stony Brook,CAA,8-24,-15.85,102,117.9,64.5
334,Fairfield,MAAC,12-20,-15.99,98.3,114.3,66.1
335,Southern Indiana,OVC,10-20,-16.48,98.5,115,67.1
336,North Carolina A&T,CAA,7-25,-16.52,97.1,113.6,69.1
337,Detroit Mercy,Horz,8-24,-16.66,95.4,112.1,67.1
338,Western Carolina,SC,8-22,-17.12,95.4,112.5,70.5
339,Buffalo,MAC,9-22,-17.42,96.5,114,70.8
340,USC Upstate,BSth,6-26,-17.6,98.5,116.2,72.8
341,New Orleans,Slnd,4-27,-17.8,99.8,117.6,69.3
342,Northern Illinois,MAC,6-25,-17.88,94.6,112.5,69
343,Mercyhurst,NEC,15-16,-17.88,99,116.8,64.8
344,Louisiana Monroe,SB,7-25,-18.06,96.4,114.5,67.8
345,Wagner,NEC,14-16,-18.12,92.3,110.5,60.4
346,Western Illinois,OVC,12-19,-18.13,99.2,117.4,64.4
347,Bellarmine,ASun,5-26,-18.18,103.7,121.9,66.3
348,Sacramento St.,BSky,7-25,-18.24,95.3,113.6,65.6
349,Central Arkansas,ASun,9-24,-18.68,97.6,116.3,66.5
350,West Georgia,ASun,6-25,-18.8,96.8,115.6,68.1
351,Cal St. Fullerton,BW,6-26,-18.85,93.8,112.7,68.2
352,Stetson,ASun,8-24,-19.81,99.3,119.1,67.7
353,NJIT,AE,6-25,-20.41,93.4,113.8,66.6
354,Le Moyne,NEC,9-23,-20.69,101.3,122,68.7
355,New Hampshire,AE,8-24,-21.71,93.9,115.7,67.5
356,The Citadel,SC,5-25,-21.81,95.1,116.9,64.7
357,Prairie View A&M,SWAC,5-27,-21.96,95.9,117.8,70.3
358,Maryland Eastern Shore,MEAC,6-25,-22.62,96,118.6,65.7
359,Canisius,MAAC,3-28,-22.99,99.2,122.2,66.3
360,Alabama A&M,SWAC,10-22,-23.38,92.3,115.7,71.1
361,Coppin St.,MEAC,6-24,-24.38,87.5,111.9,67.9
362,Chicago St.,NEC,4-28,-24.39,92,116.4,68.4
363,Arkansas Pine Bluff,SWAC,6-25,-25.94,95.3,121.3,71.5
364,Mississippi Valley St.,SWAC,3-28,-42.12,82.8,124.9,64.9
